# |       identifier        |typ|       coord1 (ICRS,J2000/2000)        |        pm         |Mag V 
--|-------------------------|---|---------------------------------------|-------------------|------
1 |Ross 223A                |PM*|22 45 39.858300 +45 23 23.48540        |     325.9 93.6    |10.93 
2 |Ross 223B                |PM*|22 45 39.850 +45 23 24.17              |     325.9 93.6    |11.28 
3 |G 216-43                 |PM*|23 26 39.6517908861 +45 21 13.938241339|433.726 125.266    |10.93 
4 |HD 38B                   |PM*|00 05 41.0028191882 +45 48 37.353508088|845.890 -148.540   | 8.995
5 |G 172-30                 |PM*|00 57 02.6919576431 +45 05 09.790903101|625.826 -68.173    |11.972
6 |G 173-18                 |PM*|01 45 18.2120123713 +46 32 07.831811524|387.643 217.279    |11.536
7 |G 134-1                  |PM*|02 06 57.1859346532 +45 11 04.181485143|280.827 -458.436   |10.239
8 |G 218-7                  |PM*|00 41 20.8281784696 +55 50 04.408356960|324.503 -73.233    |11.98 
9 |* eta Cas B              |PM*|00 49 05.1920456660 +57 49 04.170417811|1144.574 -469.382  | 7.51 
10|Wolf 33                  |PM*|00 51 29.8362873978 +58 18 07.299386394|1567.038 405.481   |10.64 
11|* eta Cas                |PM*|00 49 06.2907161 +57 48 54.675740      |1086.59 -559.43    | 3.44 
12|* tet Per                |PM*|02 44 11.9870420 +49 13 42.411120      |  334.66 -89.99    | 4.11 
13|* tet Per B              |PM*|02 44 10.2671029181 +49 13 54.003171390|317.356 -60.899    | 9.87 
14|Wolf 138                 |PM*|03 16 58.9358586986 +45 53 42.976437864|304.929 -348.518   |11.908
15|HD 13403                 |PM*|02 12 56.0621228415 +57 12 16.185008412|267.447 -216.223   | 7.00 
16|Wolf 56                  |PM*|01 08 27.1734923429 +63 30 56.368597599|1046.638 -89.587   |11.19 
17|Wolf 44                  |PM*|01 01 20.0490626127 +61 21 56.681939701|362.568 -811.628   |10.87 
18|BD+51 697                |PM*|03 14 33.9724499524 +52 20 53.763004388|-261.205 -406.185  |10.15 
19|BD+65 1846               |PM*|23 04 30.2085440610 +66 45 51.783766565|305.090 -79.651    | 9.838
20|G 264-18A                |PM*|22 05 45.3646872118 +65 38 55.506773398|-315.332 212.220   |11.62 
21|HD 218209                |PM*|23 05 06.0911806521 +68 25 01.432968207|592.421 162.893    | 7.48 
22|HD 13783                 |PM*|02 16 49.2111567366 +64 57 09.391547064|-343.789 -317.556  | 8.31 
23|G 241-1                  |PM*|22 16 20.2151798459 +70 56 39.814123256|862.866 -40.398    |11.82 
24|HD 223778B               |PM*|23 52 24.9035169255 +75 32 40.023826946|331.246 141.293    |11.7  
25|BD+66 268                |PM*|03 31 17.4003372547 +66 43 49.024023927|1191.574 -1066.350 | 9.91 
26|BD+75 855                |PM*|22 52 33.7227347477 +76 01 40.467346563|287.700 114.159    | 9.324
27|BD+43 4596A              |PM*|23 59 29.9443332904 +44 36 07.085741343|377.700 161.644    |10.07 
28|HD 239960A               |PM*|22 27 59.5575482946 +57 41 42.080559778|-725.227 -223.461  |11.41 
29|Ross 370A                |PM*|03 16 13.8314329806 +58 10 02.532931809|444.416 -324.526   |10.76 
30|BD+66 34A                |PM*|00 32 29.4817681317 +67 14 09.096130250|1757.947 -344.791  |10.327
31|G 217-46A                |PM*|00 23 20.514 +61 12 56.10              |     303.1 37.6    |11.28 
