#V[Hz]	X[V]0	Y[V]0	X[V]90	Y[V]90
2	0.1975	0.069	0.0692	-0.1997
5	0.2296	0.0028	0.0031	-0.2275
10	0.2353	-0.056	-0.0558	-0.2349
20	0.2069	-1.074	-1.072	-0.2061
30	0.1774	-1.320	-1.315	-0.1772
40	0.1586	-1.496	-1.502	-0.1595
50	0.1451	-1.525	-1.520	-0.1492
70	0.1201	-1.459	-1.460	-0.1204
100	0.0963	-1.321	-1.320	-0.0963
120	0.0841	-1.229	-1.228	-0.0842
150	0.0701	-1.112	-1.112	-0.0702
170	0.0636	-1.051	-1.050	-0.0637
200	0.0548	-0.972	-0.966	-0.0546
250	0.0432	-0.858	-0.860	-0.0435
300	0.0352	-0.766	-0.775	-0.0355
400	0.0241	-0.649	-0.651	-0.0243
450	0.0204	-0.601	-0.601	-0.0205
500	0.0173	-0.557	-0.558	-0.0174
520	0.0162	-0.541	-0.540	-0.0162
540	0.0152	-0.522	-0.522	-0.0152
560	0.0142	-0.505	-0.505	-0.0142
580	0.0132	-0.496	-0.497	-0.0136
600	0.0128	-0.485	-0.485	-0.0129
650	0.0110	-0.455	-0.457	-0.0112
700	0.00977	-0.4312	-0.4318	-0.00980
750	0.00851	-0.4071	-0.4071	-0.00854
800	0.00751	-0.3800	-0.3860	-0.00754
1000	0.00458	-0.3183	-0.3183	-0.00461
1200	0.00281	-0.2701	-0.2695	-0.00284
1500	0.00128	-0.2188	-0.2194	-0.00128
1800	0.00037	-0.1849	-0.1843	-0.00040
1900	0.00015	-0.1761	-0.1761	-0.00018
1950	0.000067	-0.1724	-0.1713	-0.000067
1980	0.000013	-0.1695	-0.1695	-0.000019
1990	0.000000	-0.1683	-0.1683	-0.00002
2000	-0.000013	-0.16729	-0.16766	0.000011
2200	-0.000319	-0.15282	-0.15320	0.000317
2500	-0.000650	-0.13487	-0.13515	0.000648
3000	-0.001009	-0.11250	-0.11250	0.001005
4000	-0.001368	-0.083470	-0.083560	0.001368
5000	-0.001524	-0.065650	-0.065650	0.001522
8000	-0.001612	-0.037777	-0.037777	0.001610
15000	-0.001524	-0.014210	-0.014230	0.001057
20000	-0.001059	-0.007530	-0.007550	0.0010570
30000	-0.000652	-0.001980	-0.001980	0.000652
35000	-0.000513	-0.000860	-0.000860	0.000513
40000	-0.000406	-0.000210	-0.000210	0.000406
41000	-0.000385	-0.000011	-0.000011	0.000383
41500	-0.000378	-0.000008	-0.000008	0.000378
42500	-0.000359	-0.000009	-0.000009	0.000359
50000	-0.000257	0.0038100	-0.003810	0.000257
