START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -10 ms
To: 10 ms
START counts: 18122
STOP counts: 22395
Time intervals: 44672
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-10	3	0.000671562
-9.9	3	0.000671562
-9.8	1	0.000223854
-9.7	4	0.000895415
-9.6	2	0.000447708
-9.5	5	0.00111927
-9.4	1	0.000223854
-9.3	6	0.00134312
-9.2	4	0.000895415
-9.1	7	0.00156698
-9	4	0.000895415
-8.9	3	0.000671562
-8.8	3	0.000671562
-8.7	5	0.00111927
-8.6	8	0.00179083
-8.5	8	0.00179083
-8.4	8	0.00179083
-8.3	10	0.00223854
-8.2	8	0.00179083
-8.1	8	0.00179083
-8	8	0.00179083
-7.9	10	0.00223854
-7.8	16	0.00358166
-7.7	19	0.00425322
-7.6	16	0.00358166
-7.5	20	0.00447708
-7.4	13	0.0029101
-7.3	6	0.00134312
-7.2	17	0.00380552
-7.1	18	0.00402937
-7	18	0.00402937
-6.9	20	0.00447708
-6.8	14	0.00313395
-6.7	18	0.00402937
-6.6	28	0.00626791
-6.5	25	0.00559635
-6.4	29	0.00649176
-6.3	35	0.00783489
-6.2	38	0.00850645
-6.1	39	0.0087303
-6	40	0.00895415
-5.9	26	0.0058202
-5.8	33	0.00738718
-5.7	46	0.0102973
-5.6	40	0.00895415
-5.5	41	0.00917801
-5.4	47	0.0105211
-5.3	49	0.0109688
-5.2	60	0.0134312
-5.1	55	0.012312
-5	52	0.0116404
-4.9	66	0.0147744
-4.8	74	0.0165652
-4.7	80	0.0179083
-4.6	104	0.0232808
-4.5	80	0.0179083
-4.4	67	0.0149982
-4.3	90	0.0201468
-4.2	119	0.0266386
-4.1	122	0.0273102
-4	116	0.025967
-3.9	131	0.0293249
-3.8	130	0.029101
-3.7	148	0.0331304
-3.6	171	0.038279
-3.5	165	0.0369359
-3.4	165	0.0369359
-3.3	162	0.0362643
-3.2	182	0.0407414
-3.1	222	0.0496956
-3	223	0.0499194
-2.9	253	0.056635
-2.8	256	0.0573066
-2.7	237	0.0530534
-2.6	248	0.0555158
-2.5	288	0.0644699
-2.4	278	0.0622314
-2.3	351	0.0785727
-2.2	386	0.0864076
-2.1	376	0.0841691
-2	388	0.0868553
-1.9	428	0.0958095
-1.8	446	0.0998388
-1.7	474	0.106107
-1.6	512	0.114613
-1.5	522	0.116852
-1.4	565	0.126477
-1.3	633	0.141699
-1.2	663	0.148415
-1.1	744	0.166547
-1	713	0.159608
-0.9	820	0.18356
-0.8	824	0.184456
-0.7	879	0.196768
-0.6	944	0.211318
-0.5	1005	0.224973
-0.4	1126	0.252059
-0.3	1163	0.260342
-0.2	1184	0.265043
-0.1	2019	0.451961
0	4156	0.930337
0.1	1113	0.249149
0.2	1029	0.230346
0.3	939	0.210199
0.4	906	0.202812
0.5	885	0.198111
0.6	851	0.1905
0.7	771	0.172591
0.8	735	0.164533
0.9	674	0.150878
1	618	0.138342
1.1	556	0.124463
1.2	591	0.132298
1.3	539	0.120657
1.4	449	0.10051
1.5	472	0.105659
1.6	438	0.098048
1.7	385	0.0861837
1.8	365	0.0817067
1.9	353	0.0790204
2	324	0.0725287
2.1	296	0.0662607
2.2	277	0.0620075
2.3	288	0.0644699
2.4	263	0.0588736
2.5	255	0.0570827
2.6	243	0.0543965
2.7	192	0.0429799
2.8	177	0.0396221
2.9	211	0.0472332
3	193	0.0432038
3.1	169	0.0378313
3.2	170	0.0380552
3.3	148	0.0331304
3.4	148	0.0331304
3.5	113	0.0252955
3.6	118	0.0264148
3.7	137	0.030668
3.8	124	0.0277579
3.9	102	0.0228331
4	89	0.019923
4.1	90	0.0201468
4.2	76	0.0170129
4.3	82	0.018356
4.4	88	0.0196991
4.5	50	0.0111927
4.6	59	0.0132074
4.7	60	0.0134312
4.8	59	0.0132074
4.9	48	0.010745
5	55	0.012312
5.1	47	0.0105211
5.2	52	0.0116404
5.3	48	0.010745
5.4	34	0.00761103
5.5	45	0.0100734
5.6	34	0.00761103
5.7	50	0.0111927
5.8	35	0.00783489
5.9	22	0.00492479
6	25	0.00559635
6.1	29	0.00649176
6.2	28	0.00626791
6.3	22	0.00492479
6.4	26	0.0058202
6.5	16	0.00358166
6.6	11	0.00246239
6.7	24	0.00537249
6.8	13	0.0029101
6.9	19	0.00425322
7	14	0.00313395
7.1	19	0.00425322
7.2	10	0.00223854
7.3	22	0.00492479
7.4	8	0.00179083
7.5	14	0.00313395
7.6	13	0.0029101
7.7	13	0.0029101
7.8	7	0.00156698
7.9	7	0.00156698
8	6	0.00134312
8.1	10	0.00223854
8.2	8	0.00179083
8.3	6	0.00134312
8.4	8	0.00179083
8.5	10	0.00223854
8.6	6	0.00134312
8.7	3	0.000671562
8.8	3	0.000671562
8.9	3	0.000671562
9	0	0
9.1	3	0.000671562
9.2	4	0.000895415
9.3	6	0.00134312
9.4	5	0.00111927
9.5	5	0.00111927
9.6	1	0.000223854
9.7	3	0.000671562
9.8	4	0.000895415
9.9	3	0.000671562
