START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 4050
STOP counts: 3509
Time intervals: 7013
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	1	0.000297067
-46.56	1	0.000297067
-46.08	0	0
-45.6	2	0.000594135
-45.12	0	0
-44.64	3	0.000891202
-44.16	0	0
-43.68	0	0
-43.2	1	0.000297067
-42.72	1	0.000297067
-42.24	0	0
-41.76	0	0
-41.28	2	0.000594135
-40.8	1	0.000297067
-40.32	0	0
-39.84	2	0.000594135
-39.36	5	0.00148534
-38.88	1	0.000297067
-38.4	0	0
-37.92	2	0.000594135
-37.44	1	0.000297067
-36.96	0	0
-36.48	1	0.000297067
-36	0	0
-35.52	0	0
-35.04	1	0.000297067
-34.56	1	0.000297067
-34.08	4	0.00118827
-33.6	5	0.00148534
-33.12	5	0.00148534
-32.64	2	0.000594135
-32.16	2	0.000594135
-31.68	1	0.000297067
-31.2	5	0.00148534
-30.72	2	0.000594135
-30.24	3	0.000891202
-29.76	8	0.00237654
-29.28	8	0.00237654
-28.8	2	0.000594135
-28.32	5	0.00148534
-27.84	8	0.00237654
-27.36	5	0.00148534
-26.88	7	0.00207947
-26.4	8	0.00237654
-25.92	9	0.00267361
-25.44	8	0.00237654
-24.96	6	0.0017824
-24.48	6	0.0017824
-24	8	0.00237654
-23.52	7	0.00207947
-23.04	11	0.00326774
-22.56	14	0.00415894
-22.08	11	0.00326774
-21.6	13	0.00386188
-21.12	14	0.00415894
-20.64	18	0.00534721
-20.16	9	0.00267361
-19.68	21	0.00623841
-19.2	27	0.00802082
-18.72	13	0.00386188
-18.24	20	0.00594135
-17.76	17	0.00505014
-17.28	21	0.00623841
-16.8	29	0.00861495
-16.32	32	0.00950616
-15.84	30	0.00891202
-15.36	31	0.00920909
-14.88	33	0.00980322
-14.4	29	0.00861495
-13.92	31	0.00920909
-13.44	40	0.0118827
-12.96	41	0.0121798
-12.48	37	0.0109915
-12	41	0.0121798
-11.52	52	0.0154475
-11.04	46	0.0136651
-10.56	62	0.0184182
-10.08	47	0.0139622
-9.6	69	0.0204976
-9.12	61	0.0181211
-8.64	62	0.0184182
-8.16	83	0.0246566
-7.68	72	0.0213888
-7.2	77	0.0228742
-6.72	99	0.0294097
-6.24	86	0.0255478
-5.76	113	0.0335686
-5.28	125	0.0371334
-4.8	135	0.0401041
-4.32	131	0.0389158
-3.84	150	0.0445601
-3.36	148	0.043966
-2.88	169	0.0502044
-2.4	161	0.0478278
-1.92	183	0.0543633
-1.44	173	0.0513927
-0.96	206	0.0611959
-0.48	266	0.0790199
0	614	0.182399
0.48	179	0.0531751
0.96	172	0.0510956
1.44	156	0.0463425
1.92	148	0.043966
2.4	159	0.0472337
2.88	122	0.0362422
3.36	104	0.030895
3.84	121	0.0359451
4.32	121	0.0359451
4.8	103	0.0305979
5.28	88	0.0261419
5.76	89	0.026439
6.24	85	0.0252507
6.72	67	0.0199035
7.2	78	0.0231713
7.68	68	0.0202006
8.16	67	0.0199035
8.64	63	0.0187152
9.12	63	0.0187152
9.6	48	0.0142592
10.08	39	0.0115856
10.56	34	0.0101003
11.04	45	0.013368
11.52	49	0.0145563
12	44	0.013071
12.48	32	0.00950616
12.96	36	0.0106944
13.44	34	0.0101003
13.92	28	0.00831789
14.4	27	0.00802082
14.88	25	0.00742668
15.36	20	0.00594135
15.84	25	0.00742668
16.32	26	0.00772375
16.8	20	0.00594135
17.28	24	0.00712962
17.76	27	0.00802082
18.24	16	0.00475308
18.72	17	0.00505014
19.2	15	0.00445601
19.68	14	0.00415894
20.16	17	0.00505014
20.64	15	0.00445601
21.12	9	0.00267361
21.6	15	0.00445601
22.08	8	0.00237654
22.56	5	0.00148534
23.04	7	0.00207947
23.52	6	0.0017824
24	8	0.00237654
24.48	7	0.00207947
24.96	11	0.00326774
25.44	3	0.000891202
25.92	6	0.0017824
26.4	4	0.00118827
26.88	4	0.00118827
27.36	6	0.0017824
27.84	3	0.000891202
28.32	1	0.000297067
28.8	6	0.0017824
29.28	2	0.000594135
29.76	4	0.00118827
30.24	1	0.000297067
30.72	4	0.00118827
31.2	2	0.000594135
31.68	2	0.000594135
32.16	3	0.000891202
32.64	0	0
33.12	1	0.000297067
33.6	4	0.00118827
34.08	1	0.000297067
34.56	3	0.000891202
35.04	2	0.000594135
35.52	4	0.00118827
36	1	0.000297067
36.48	3	0.000891202
36.96	2	0.000594135
37.44	2	0.000594135
37.92	2	0.000594135
38.4	1	0.000297067
38.88	1	0.000297067
39.36	0	0
39.84	0	0
40.32	1	0.000297067
40.8	0	0
41.28	2	0.000594135
41.76	0	0
42.24	0	0
42.72	0	0
43.2	1	0.000297067
43.68	0	0
44.16	0	0
44.64	0	0
45.12	0	0
45.6	2	0.000594135
46.08	0	0
46.56	0	0
47.04	0	0
47.52	0	0
