START: TDC 0
STOP: TDC 1
1st stop option: Off
From: -48 ms
To: 48 ms
START counts: 7971
STOP counts: 6426
Time intervals: 12846
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
-48	0	0
-47.52	0	0
-47.04	0	0
-46.56	0	0
-46.08	0	0
-45.6	0	0
-45.12	0	0
-44.64	0	0
-44.16	0	0
-43.68	0	0
-43.2	0	0
-42.72	0	0
-42.24	0	0
-41.76	0	0
-41.28	0	0
-40.8	0	0
-40.32	0	0
-39.84	0	0
-39.36	0	0
-38.88	0	0
-38.4	0	0
-37.92	0	0
-37.44	1	0.000162178
-36.96	0	0
-36.48	0	0
-36	0	0
-35.52	0	0
-35.04	0	0
-34.56	0	0
-34.08	0	0
-33.6	0	0
-33.12	0	0
-32.64	0	0
-32.16	0	0
-31.68	0	0
-31.2	0	0
-30.72	1	0.000162178
-30.24	0	0
-29.76	0	0
-29.28	1	0.000162178
-28.8	0	0
-28.32	0	0
-27.84	1	0.000162178
-27.36	1	0.000162178
-26.88	0	0
-26.4	0	0
-25.92	2	0.000324355
-25.44	1	0.000162178
-24.96	1	0.000162178
-24.48	1	0.000162178
-24	1	0.000162178
-23.52	3	0.000486533
-23.04	0	0
-22.56	1	0.000162178
-22.08	5	0.000810888
-21.6	6	0.000973066
-21.12	6	0.000973066
-20.64	4	0.00064871
-20.16	3	0.000486533
-19.68	5	0.000810888
-19.2	3	0.000486533
-18.72	5	0.000810888
-18.24	4	0.00064871
-17.76	5	0.000810888
-17.28	11	0.00178395
-16.8	12	0.00194613
-16.32	15	0.00243266
-15.84	10	0.00162178
-15.36	17	0.00275702
-14.88	17	0.00275702
-14.4	24	0.00389226
-13.92	27	0.00437879
-13.44	32	0.00518968
-12.96	26	0.00421662
-12.48	37	0.00600057
-12	51	0.00827106
-11.52	47	0.00762235
-11.04	42	0.00681146
-10.56	63	0.0102172
-10.08	57	0.00924412
-9.6	73	0.011839
-9.12	68	0.0110281
-8.64	94	0.0152447
-8.16	102	0.0165421
-7.68	106	0.0171908
-7.2	135	0.021894
-6.72	147	0.0238401
-6.24	173	0.0280567
-5.76	193	0.0313003
-5.28	202	0.0327599
-4.8	199	0.0322733
-4.32	300	0.0486533
-3.84	305	0.0494642
-3.36	351	0.0569243
-2.88	430	0.0697364
-2.4	445	0.072169
-1.92	481	0.0780074
-1.44	549	0.0890355
-0.96	631	0.102334
-0.48	890	0.144338
0	909	0.147419
0.48	601	0.0974687
0.96	538	0.0872515
1.44	459	0.0744395
1.92	413	0.0669793
2.4	424	0.0687633
2.88	339	0.0549782
3.36	321	0.052059
3.84	314	0.0509238
4.32	235	0.0381117
4.8	204	0.0330842
5.28	191	0.0309759
5.76	167	0.0270837
6.24	161	0.0261106
6.72	135	0.021894
7.2	104	0.0168665
7.68	88	0.0142716
8.16	91	0.0147582
8.64	84	0.0136229
9.12	64	0.0103794
9.6	74	0.0120011
10.08	70	0.0113524
10.56	60	0.00973066
11.04	39	0.00632493
11.52	51	0.00827106
12	37	0.00600057
12.48	28	0.00454097
12.96	18	0.0029192
13.44	34	0.00551404
13.92	28	0.00454097
14.4	27	0.00437879
14.88	14	0.00227049
15.36	21	0.00340573
15.84	13	0.00210831
16.32	10	0.00162178
16.8	8	0.00129742
17.28	7	0.00113524
17.76	7	0.00113524
18.24	2	0.000324355
18.72	1	0.000162178
19.2	5	0.000810888
19.68	3	0.000486533
20.16	3	0.000486533
20.64	3	0.000486533
21.12	2	0.000324355
21.6	2	0.000324355
22.08	2	0.000324355
22.56	1	0.000162178
23.04	0	0
23.52	2	0.000324355
24	2	0.000324355
24.48	1	0.000162178
24.96	0	0
25.44	0	0
25.92	1	0.000162178
26.4	0	0
26.88	0	0
27.36	0	0
27.84	2	0.000324355
28.32	1	0.000162178
28.8	0	0
29.28	1	0.000162178
29.76	0	0
30.24	0	0
30.72	0	0
31.2	0	0
31.68	1	0.000162178
32.16	0	0
32.64	0	0
33.12	0	0
33.6	0	0
34.08	0	0
34.56	0	0
35.04	0	0
35.52	0	0
36	0	0
36.48	0	0
36.96	0	0
37.44	0	0
37.92	0	0
38.4	0	0
38.88	0	0
39.36	0	0
39.84	0	0
40.32	0	0
40.8	0	0
41.28	0	0
41.76	0	0
42.24	0	0
42.72	0	0
43.2	0	0
43.68	0	0
44.16	0	0
44.64	0	0
45.12	0	0
45.6	0	0
46.08	0	0
46.56	0	0
47.04	0	0
47.52	0	0
