START: TDC 0
STOP: TDC 0
1st stop option: Off
From: 0 ms
To: 18 ms
START counts: 18699
STOP counts: 18699
Time intervals: 18689
Elapsed time: 30.1 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
0	1064	0.632577
0.09	954	0.567179
0.18	958	0.569557
0.27	873	0.519022
0.36	871	0.517833
0.45	735	0.436977
0.54	764	0.454218
0.63	685	0.407251
0.72	616	0.366229
0.81	601	0.357311
0.9	586	0.348393
0.99	563	0.334719
1.08	522	0.310343
1.17	511	0.303803
1.26	424	0.252079
1.35	456	0.271104
1.44	415	0.246729
1.53	363	0.215813
1.62	347	0.206301
1.71	358	0.212841
1.8	327	0.19441
1.89	322	0.191438
1.98	305	0.181331
2.07	276	0.164089
2.16	235	0.139714
2.25	236	0.140308
2.34	257	0.152793
2.43	227	0.134958
2.52	213	0.126634
2.61	210	0.124851
2.7	214	0.127229
2.79	188	0.111771
2.88	189	0.112366
2.97	142	0.0844228
3.06	138	0.0820447
3.15	147	0.0873954
3.24	114	0.0677761
3.33	132	0.0784775
3.42	118	0.0701542
3.51	113	0.0671815
3.6	109	0.0648034
3.69	108	0.0642089
3.78	102	0.0606417
3.87	83	0.0493457
3.96	105	0.0624253
4.05	59	0.0350771
4.14	81	0.0481567
4.23	82	0.0487512
4.32	72	0.0428059
4.41	72	0.0428059
4.5	56	0.0332935
4.59	67	0.0398333
4.68	44	0.0261592
4.77	41	0.0243756
4.86	44	0.0261592
4.95	43	0.0255647
5.04	42	0.0249701
5.13	25	0.0148632
5.22	30	0.0178358
5.31	41	0.0243756
5.4	38	0.022592
5.49	31	0.0184303
5.58	24	0.0142686
5.67	29	0.0172413
5.76	19	0.011296
5.85	24	0.0142686
5.94	30	0.0178358
6.03	19	0.011296
6.12	24	0.0142686
6.21	32	0.0190249
6.3	20	0.0118905
6.39	25	0.0148632
6.48	19	0.011296
6.57	11	0.00653979
6.66	20	0.0118905
6.75	14	0.00832338
6.84	18	0.0107015
6.93	15	0.0089179
7.02	11	0.00653979
7.11	12	0.00713432
7.2	12	0.00713432
7.29	12	0.00713432
7.38	7	0.00416169
7.47	7	0.00416169
7.56	2	0.00118905
7.65	8	0.00475621
7.74	8	0.00475621
7.83	7	0.00416169
7.92	5	0.00297263
8.01	3	0.00178358
8.1	9	0.00535074
8.19	8	0.00475621
8.28	2	0.00118905
8.37	7	0.00416169
8.46	6	0.00356716
8.55	4	0.00237811
8.64	4	0.00237811
8.73	9	0.00535074
8.82	3	0.00178358
8.91	3	0.00178358
9	2	0.00118905
9.09	2	0.00118905
9.18	4	0.00237811
9.27	2	0.00118905
9.36	1	0.000594527
9.45	2	0.00118905
9.54	3	0.00178358
9.63	0	0
9.72	3	0.00178358
9.81	2	0.00118905
9.9	2	0.00118905
9.99	1	0.000594527
10.08	0	0
10.17	1	0.000594527
10.26	2	0.00118905
10.35	0	0
10.44	1	0.000594527
10.53	0	0
10.62	2	0.00118905
10.71	1	0.000594527
10.8	1	0.000594527
10.89	2	0.00118905
10.98	1	0.000594527
11.07	1	0.000594527
11.16	3	0.00178358
11.25	0	0
11.34	2	0.00118905
11.43	1	0.000594527
11.52	1	0.000594527
11.61	0	0
11.7	0	0
11.79	0	0
11.88	2	0.00118905
11.97	0	0
12.06	0	0
12.15	0	0
12.24	0	0
12.33	2	0.00118905
12.42	1	0.000594527
12.51	0	0
12.6	0	0
12.69	0	0
12.78	0	0
12.87	1	0.000594527
12.96	0	0
13.05	1	0.000594527
13.14	0	0
13.23	0	0
13.32	0	0
13.41	0	0
13.5	1	0.000594527
13.59	0	0
13.68	0	0
13.77	1	0.000594527
13.86	0	0
13.95	0	0
14.04	0	0
14.13	0	0
14.22	0	0
14.31	0	0
14.4	0	0
14.49	0	0
14.58	1	0.000594527
14.67	0	0
14.76	0	0
14.85	0	0
14.94	0	0
15.03	0	0
15.12	0	0
15.21	0	0
15.3	0	0
15.39	0	0
15.48	0	0
15.57	0	0
15.66	0	0
15.75	0	0
15.84	0	0
15.93	0	0
16.02	0	0
16.11	0	0
16.2	0	0
16.29	0	0
16.38	0	0
16.47	0	0
16.56	0	0
16.65	0	0
16.74	0	0
16.83	0	0
16.92	0	0
17.01	0	0
17.1	0	0
17.19	0	0
17.28	0	0
17.37	0	0
17.46	0	0
17.55	0	0
17.64	0	0
17.73	0	0
17.82	0	0
17.91	0	0
