START: TDC 1
STOP: TDC 1
1st stop option: Off
From: 0 ms
To: 12 ms
START counts: 22859
STOP counts: 22859
Time intervals: 22843
Elapsed time: 30.0 s
Offset: 0 ms

Time [ms]	Counts	PDF [1/ms]
0	990	0.722322
0.06	960	0.700433
0.12	908	0.662493
0.18	910	0.663952
0.24	875	0.638416
0.3	824	0.601205
0.36	761	0.555239
0.42	726	0.529703
0.48	737	0.537729
0.54	705	0.514381
0.6	677	0.493951
0.66	635	0.463308
0.72	577	0.42099
0.78	552	0.402749
0.84	576	0.42026
0.9	508	0.370646
0.96	515	0.375753
1.02	462	0.337084
1.08	487	0.355324
1.14	410	0.299143
1.2	404	0.294766
1.26	419	0.30571
1.32	385	0.280903
1.38	326	0.237856
1.44	355	0.259014
1.5	362	0.264122
1.56	293	0.213778
1.62	284	0.207212
1.68	277	0.202104
1.74	263	0.19189
1.8	285	0.207941
1.86	244	0.178027
1.92	274	0.199915
1.98	207	0.151031
2.04	233	0.170001
2.1	208	0.151761
2.16	192	0.140087
2.22	188	0.137168
2.28	170	0.124035
2.34	155	0.113091
2.4	159	0.116009
2.46	155	0.113091
2.52	161	0.117469
2.58	157	0.11455
2.64	118	0.0860949
2.7	136	0.0992281
2.76	124	0.0904726
2.82	123	0.089743
2.88	96	0.0700433
2.94	105	0.0766099
3	119	0.0868246
3.06	93	0.0678545
3.12	100	0.0729618
3.18	81	0.0590991
3.24	96	0.0700433
3.3	64	0.0466956
3.36	68	0.049614
3.42	85	0.0620175
3.48	72	0.0525325
3.54	69	0.0503437
3.6	58	0.0423179
3.66	73	0.0532621
3.72	51	0.0372105
3.78	52	0.0379401
3.84	49	0.0357513
3.9	54	0.0393994
3.96	51	0.0372105
4.02	57	0.0415882
4.08	44	0.0321032
4.14	31	0.0226182
4.2	38	0.0277255
4.26	39	0.0284551
4.32	36	0.0262663
4.38	37	0.0269959
4.44	29	0.0211589
4.5	33	0.0240774
4.56	30	0.0218885
4.62	37	0.0269959
4.68	19	0.0138627
4.74	33	0.0240774
4.8	29	0.0211589
4.86	19	0.0138627
4.92	28	0.0204293
4.98	23	0.0167812
5.04	18	0.0131331
5.1	17	0.0124035
5.16	14	0.0102147
5.22	14	0.0102147
5.28	21	0.015322
5.34	16	0.0116739
5.4	15	0.0109443
5.46	11	0.0080258
5.52	13	0.00948504
5.58	9	0.00656656
5.64	9	0.00656656
5.7	8	0.00583694
5.76	11	0.0080258
5.82	11	0.0080258
5.88	6	0.00437771
5.94	9	0.00656656
6	13	0.00948504
6.06	6	0.00437771
6.12	7	0.00510733
6.18	7	0.00510733
6.24	5	0.00364809
6.3	11	0.0080258
6.36	10	0.00729618
6.42	7	0.00510733
6.48	7	0.00510733
6.54	9	0.00656656
6.6	5	0.00364809
6.66	4	0.00291847
6.72	5	0.00364809
6.78	4	0.00291847
6.84	4	0.00291847
6.9	4	0.00291847
6.96	5	0.00364809
7.02	2	0.00145924
7.08	2	0.00145924
7.14	3	0.00218885
7.2	6	0.00437771
7.26	4	0.00291847
7.32	3	0.00218885
7.38	4	0.00291847
7.44	7	0.00510733
7.5	1	0.000729618
7.56	1	0.000729618
7.62	1	0.000729618
7.68	3	0.00218885
7.74	4	0.00291847
7.8	1	0.000729618
7.86	3	0.00218885
7.92	0	0
7.98	1	0.000729618
8.04	1	0.000729618
8.1	0	0
8.16	2	0.00145924
8.22	1	0.000729618
8.28	0	0
8.34	3	0.00218885
8.4	0	0
8.46	1	0.000729618
8.52	1	0.000729618
8.58	1	0.000729618
8.64	0	0
8.7	1	0.000729618
8.76	0	0
8.82	0	0
8.88	1	0.000729618
8.94	1	0.000729618
9	0	0
9.06	1	0.000729618
9.12	0	0
9.18	0	0
9.24	2	0.00145924
9.3	2	0.00145924
9.36	0	0
9.42	2	0.00145924
9.48	0	0
9.54	1	0.000729618
9.6	0	0
9.66	0	0
9.72	2	0.00145924
9.78	0	0
9.84	0	0
9.9	1	0.000729618
9.96	1	0.000729618
10.02	0	0
10.08	0	0
10.14	1	0.000729618
10.2	0	0
10.26	1	0.000729618
10.32	0	0
10.38	1	0.000729618
10.44	1	0.000729618
10.5	0	0
10.56	0	0
10.62	1	0.000729618
10.68	1	0.000729618
10.74	0	0
10.8	0	0
10.86	0	0
10.92	0	0
10.98	0	0
11.04	1	0.000729618
11.1	0	0
11.16	0	0
11.22	0	0
11.28	0	0
11.34	0	0
11.4	0	0
11.46	0	0
11.52	0	0
11.58	0	0
11.64	0	0
11.7	0	0
11.76	0	0
11.82	0	0
11.88	0	0
11.94	0	0
