Total counts: 323834
Active taps: 163
Average width: 17.53 ps
Temperature: 60.9 °C

Bin	Counts	Count ratio	Bin width [ps]	Time [ps]	DNL [LSB]	INL [LSB]
1	4391	0.0135594	38.74	19.37	1.2102	1.210
2	4695	0.0144982	41.42	59.45	1.3632	2.573
3	5304	0.0163788	46.80	103.56	1.6697	4.243
4	3355	0.0103602	29.60	141.76	0.6887	4.932
5	647	0.00199794	5.71	159.42	-0.6743	4.258
6	3473	0.0107246	30.64	177.59	0.7481	5.006
7	143	0.000441584	1.26	193.54	-0.9280	4.078
8	2561	0.00790837	22.60	205.47	0.2891	4.367
9	915	0.00282552	8.07	220.81	-0.5394	3.827
10	3645	0.0112558	32.16	240.92	0.8347	4.662
11	96	0.000296448	0.85	257.42	-0.9517	3.710
12	3772	0.0116479	33.28	274.49	0.8986	4.609
13	82	0.000253216	0.72	291.49	-0.9587	3.650
14	3932	0.012142	34.69	309.20	0.9791	4.629
15	420	0.00129696	3.71	328.40	-0.7886	3.841
16	7083	0.0218723	62.49	361.49	2.5652	6.406
17	118	0.000364384	1.04	393.26	-0.9406	5.465
18	4031	0.0124477	35.56	411.56	1.0290	6.494
19	162	0.000500256	1.43	430.06	-0.9185	5.576
20	109	0.000336592	0.96	431.26	-0.9451	4.631
21	389	0.00120123	3.43	433.45	-0.8042	3.826
22	3346	0.0103325	29.52	449.93	0.6842	4.511
23	977	0.00301698	8.62	469.00	-0.5082	4.002
24	3616	0.0111662	31.90	489.26	0.8201	4.823
25	668	0.00206279	5.89	508.16	-0.6638	4.159
26	2723	0.00840863	24.02	523.12	0.3706	4.529
27	1065	0.00328872	9.40	539.83	-0.4639	4.065
28	627	0.00193618	5.53	547.30	-0.6844	3.381
29	128	0.000395264	1.13	550.63	-0.9356	2.445
30	3512	0.0108451	30.99	566.68	0.7677	3.213
31	1257	0.00388162	11.09	587.72	-0.3673	2.846
32	7871	0.0243057	69.44	627.99	2.9618	5.808
33	753	0.00232527	6.64	666.03	-0.6210	5.187
34	3418	0.0105548	30.16	684.43	0.7204	5.907
35	872	0.00269274	7.69	703.36	-0.5611	5.346
36	1971	0.00608645	17.39	715.90	-0.0079	5.338
37	856	0.00264333	7.55	728.37	-0.5691	4.769
38	4238	0.013087	37.39	750.84	1.1332	5.902
39	156	0.000481728	1.38	770.23	-0.9215	4.981
40	148	0.000457024	1.31	771.57	-0.9255	4.055
41	146	0.000450848	1.29	772.87	-0.9265	3.129
42	3587	0.0110767	31.65	789.33	0.8055	3.934
