START: TDC 1
STOP: TDC 0
1st stop option: Off
From: -600 ns
To: 600 ns
START counts: 184789
STOP counts: 183845
Time intervals: 183754
Elapsed time: 303.1 s
Offset: 0 ns

Time [ns]	Counts	PDF [1/ns]
-99.39	2	0.00605009
-99.388201	0	0
-99.386402	1	0.00302505
-99.384603	0	0
-99.382804	0	0
-99.381005	1	0.00302505
-99.379206	0	0
-99.377407	4	0.0121002
-99.375608	4	0.0121002
-99.373809	5	0.0151252
-99.37201	3	0.00907514
-99.370211	0	0
-99.368412	4	0.0121002
-99.366613	3	0.00907514
-99.364814	5	0.0151252
-99.363015	2	0.00605009
-99.361216	10	0.0302505
-99.359417	6	0.0181503
-99.357618	12	0.0363006
-99.355819	5	0.0151252
-99.35402	2	0.00605009
-99.352221	7	0.0211753
-99.350422	34	0.102852
-99.348623	5	0.0151252
-99.346824	5	0.0151252
-99.345025	32	0.0968015
-99.343226	30	0.0907514
-99.341427	86	0.260154
-99.339628	33	0.0998265
-99.337829	49	0.148227
-99.33603	68	0.205703
-99.334231	27	0.0816763
-99.332432	38	0.114952
-99.330633	50	0.151252
-99.328834	61	0.184528
-99.327035	116	0.350905
-99.325236	231	0.698786
-99.323437	171	0.517283
-99.321638	58	0.175453
-99.319839	217	0.656435
-99.31804	194	0.586859
-99.316241	156	0.471907
-99.314442	158	0.477957
-99.312643	309	0.934739
-99.310844	297	0.898439
-99.309045	477	1.44295
-99.307246	354	1.07087
-99.305447	289	0.874238
-99.303648	614	1.85738
-99.301849	332	1.00432
-99.30005	744	2.25063
-99.298251	982	2.9706
-99.296452	522	1.57907
-99.294653	286	0.865163
-99.292854	1080	3.26705
-99.291055	1977	5.98052
-99.289256	428	1.29472
-99.287457	1024	3.09765
-99.285658	1434	4.33792
-99.283859	1101	3.33058
-99.28206	1345	4.06869
-99.280261	817	2.47146
-99.278462	1702	5.14863
-99.276663	2307	6.97878
-99.274864	661	1.99956
-99.273065	2441	7.38414
-99.271266	292	0.883314
-99.269467	1582	4.78562
-99.267668	1623	4.90965
-99.265869	3366	10.1823
-99.26407	4282	12.9532
-99.262271	3190	9.6499
-99.260472	2458	7.43556
-99.258673	3788	11.4589
-99.256874	1356	4.10196
-99.255075	2777	8.40055
-99.253276	3240	9.80115
-99.251477	2399	7.25709
-99.249678	5796	17.5332
-99.247879	2981	9.01766
-99.24608	4834	14.6231
-99.244281	3167	9.58032
-99.242482	2690	8.13737
-99.240683	2000	6.05009
-99.238884	6992	21.1511
-99.237085	3361	10.1672
-99.235286	2168	6.5583
-99.233487	1608	4.86427
-99.231688	3138	9.4926
-99.229889	6805	20.5854
-99.22809	2706	8.18578
-99.226291	5305	16.0479
-99.224492	984	2.97665
-99.222693	2973	8.99346
-99.220894	4143	12.5328
-99.219095	4212	12.7415
-99.217296	1111	3.36083
-99.215497	4537	13.7246
-99.213698	4122	12.4692
-99.211899	3318	10.0371
-99.2101	2525	7.63824
-99.208301	2857	8.64256
-99.206502	3211	9.71342
-99.204703	3249	9.82838
-99.202904	2984	9.02674
-99.201105	2209	6.68233
-99.199306	3258	9.8556
-99.197507	2472	7.47791
-99.195708	2692	8.14342
-99.193909	2617	7.91655
-99.19211	1366	4.13221
-99.190311	2230	6.74585
-99.188512	1505	4.55269
-99.186713	2095	6.33747
-99.184914	851	2.57431
-99.183115	675	2.04191
-99.181316	540	1.63353
-99.179517	1551	4.69185
-99.177718	820	2.48054
-99.175919	666	2.01468
-99.17412	788	2.38374
-99.172321	1507	4.55874
-99.170522	1767	5.34526
-99.168723	549	1.66075
-99.166924	341	1.03154
-99.165125	396	1.19792
-99.163326	363	1.09809
-99.161527	774	2.34139
-99.159728	441	1.33405
-99.157929	320	0.968015
-99.15613	355	1.07389
-99.154331	444	1.34312
-99.152532	339	1.02549
-99.150733	414	1.25237
-99.148934	230	0.695761
-99.147135	244	0.738111
-99.145336	144	0.435607
-99.143537	118	0.356955
-99.141738	226	0.68366
-99.139939	123	0.372081
-99.13814	78	0.235954
-99.136341	110	0.332755
-99.134542	75	0.226878
-99.132743	90	0.272254
-99.130944	80	0.242004
-99.129145	2	0.00605009
-99.127346	33	0.0998265
-99.125547	14	0.0423506
-99.123748	26	0.0786512
-99.121949	14	0.0423506
-99.12015	44	0.133102
-99.118351	20	0.0605009
-99.116552	24	0.0726011
-99.114753	15	0.0453757
-99.112954	2	0.00605009
-99.111155	11	0.0332755
-99.109356	38	0.114952
-99.107557	31	0.0937764
-99.105758	11	0.0332755
-99.103959	6	0.0181503
-99.10216	8	0.0242004
-99.100361	2	0.00605009
-99.098562	9	0.0272254
-99.096763	5	0.0151252
-99.094964	2	0.00605009
-99.093165	2	0.00605009
-99.091366	2	0.00605009
-99.089567	2	0.00605009
-99.087768	2	0.00605009
-99.085969	3	0.00907514
-99.08417	0	0
-99.082371	2	0.00605009
-99.080572	0	0
-99.078773	0	0
-99.076974	1	0.00302505
-99.075175	6	0.0181503
-99.073376	0	0
-99.071577	0	0
-99.069778	0	0
-99.067979	0	0
-99.06618	3	0.00907514
-99.064381	1	0.00302505
-99.062582	0	0
-99.060783	0	0
-99.058984	0	0
-99.057185	0	0
-99.055386	0	0
-99.053587	0	0
-99.051788	0	0
-99.049989	0	0
-99.04819	0	0
-99.046391	1	0.00302505
-99.044592	0	0
-99.042793	0	0
-99.040994	0	0
-99.039195	0	0
-99.037396	0	0
-99.035597	0	0
-99.033798	0	0
-99.031999	1	0.00302505
